,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
POR23,LP04,-,LP,,1977 Jul,1977 Jul,POR23 LP4,1977 Korolev expedition,-,-126.1200,14.2800,0.0200,GMS,-                -,,-
POR23,LP05,-,LP,,1977 Jul,1977 Jul,POR23 LP5,1977 Korolev expedition,-,-125.9000,14.2500,0.0200,GMS,-                -,,-
POR23,LP06,-,LP,,1977 Jul,1977 Jul,POR23 LP6,1977 Korolev expedition,-,-104.6300,10.3500,0.0200,GMS,-                -,,-
POR23,LP07,-,LP,,1977 Jul,1977 Jul,POR23 LP7,1977 Korolev expedition,-,-104.2000,10.2800,0.0200,GMS,-                -,,-
POR23,LP08,-,LP,,1977 Jul,1977 Jul,POR23 LP8,1977 Korolev expedition,-,-103.8000,10.2200,0.0200,GMS,-                -,,-
POR23,LP09,-,LP,,1977 Jul,1977 Jul,POR23 LP9,1977 Korolev expedition,-,-93.0500,7.8800,0.0200,GMS,-                -,,-
POR23,LP10,-,LP,,1977 Jul,1977 Jul,POR23 LP10,1977 Korolev expedition,-,-92.7500,7.7700,0.0200,GMS,-                -,,-
RLAKE,MCM,-,LP,,1979 Feb 26,1979 Feb 27,RLAKE MCM,"Red Lake, McMarmac Site, Ontario, Canada",-,-93.4700,50.8800,0.2000,NRCC,-                -,,-
RLAKE,CHK,-,LP,,1979 Feb 26,1979 Feb 27,RLAKE CHK,"Red Lake, Chukuni Range, Ontario, Canada",-,-93.4538,50.9007,0.0001,NRCC,-                -,,-
RLAKE,COCH,-,LP,,1979 Feb 26,1979 Feb 27,RLAKE COCH,"Red Lake, Cocheour Site, Ontario, Canada",-,-93.4700,50.8800,0.2000,NRCC,-                -,,-
RODR,M9046,-,LP,,1968,1969,IOR4  M9046,Soviet meteo ship launch site near Rodrigues Island,Indian Ocean,65.0000,-20.0000,0.1000,SU,-                -,,-
ROS,WAL,-,LP,,1959,1967,ROS   WAL,"Waldrip drop zone, Rosamund Dry Lake, California",-,-118.1000,34.7200,0.0100,NASA/USAF,-                -,,-
ROS,A,-,LP,,1964,1965,ROS   A,"Rosamund Dry Lake, California (drop point A)",-,-118.0500,35.0000,0.0100,NASA/USAF,-                -,,-
ROS,B,-,LP,,1960,1960,ROS   B,"Rosamund Dry Lake, California (drop point B)",-,-118.3300,34.7200,0.0100,NASA/USAF,-                -,,-
ROS,C,-,LP,,1959,1960,ROS   C,"Rosamund Dry Lake, California (drop point C)",-,-118.0200,34.7600,0.0100,NASA/USAF,-                -,,-
ROS,D,-,LP,,1959,1959,ROS   D,"Rosamund Dry Lake, California (drop point D)",-,-118.1000,34.7600,0.0100,NASA/USAF,-                -,,-
SCL,E,-,LP,,1957,1960s,SCL   E,"Starstruck offshore site, 16 km E of San Clemente Island, California",-,-118.5000,32.9200,0.0400,USN,-                -,,-
SDQ,SL,-,LP,,1959,*,SDQ   SL,"San Lorenzo pad, Salto di Quirra, Perdas de Fogu, Sardegna",-,9.6500,39.5000,0.0200,I,-                -,,-
SDQ,NHER,-,LP,,-,-,PISQ,"Nike Hercules pad, Salto di Quirra",-,9.6229,39.5038,0.0001,I,-                -,,-
SDQ,BASE,-,LP,,-,-,PISQ,"Base camp, Perdasdefogu",-,9.4432,39.6777,0.0001,I,-                -,-,
SDQ,UNK1,-,LP,,-,-,PISQ,"Hawk missile site at Capo San Lorenzo, Salto di Quirra",-,9.6361,39.5418,0.0001,I,-                -,,-
SEM,SAF,-,LP,,2013,-,SEM   SAF,"Safir pad, Semnan, Iran",-,53.9210,35.2347,0.0002,IR,-                -,,-
SEM,IKSC,-,LP,,2013,-,SEM   IKSC,"Imam Khomeini Space Launch Center, Semnan, Iran",-,53.9522,35.2369,0.0002,IR,-                -,,-
SHAR,RH,-,LP,,1971 Oct  9,*,SHAR  RH,"Sounding rocket complex, Sriharikota Range",-,80.3030,13.6210,0.0200,ISRO,-                -,,-
SHAR,SLV,-,LP,,1979 Aug,*,SHAR  SLV,"SLV pad, Sriharikota Range",-,80.2990,13.5420,0.0200,ISRO,-                -,,-
SHAR,FLP,-,LP,,1990,*,SHAR  PSLV,"PSLV pad, Sriharikota Range",-,80.2930,13.5760,0.0200,ISRO,-                -,,-
SHAR,SLP,-,LP,,1990,*,SHAR  SLP,"GSLV pad 2, Sriharikota Range",-,80.2930,13.5760,0.1000,ISRO,-                -,,-
SIL,A,-,LP,,1959,1967,SIL   A,"Silver Lake 1 drop zone, California",-,-115.8000,35.5300,0.1000,NASA/USAF,-                -,,-
SIL,B,-,LP,,1959,1967,SIL   B,"Silver Lake 2 drop zone, California",-,-115.9500,35.5800,0.1000,NASA/USAF,-                -,,-
SIL,C,-,LP,,1959,1967,SIL   C,"Silver Lake drop zone, California",-,-115.8500,35.1200,0.1000,NASA/USAF,-                -,,-
SIL,RW15/33,-,LP,,1959,1967,SIL   RW15/33,"RW15/33, Silver Lake lakebed, California",-,-116.1000,35.3300,0.1000,NASA/USAF,-                -,,-
SIP,RAG,-,LP,,1980 Dec 12,1981 Jan 11,SIP   RAG,"Siple Station, Ellsworth Land, Antarctica (RAG launcher)",-,-84.2510,-75.9384,0.0200,NASA,-                -,,-
SIP,A,-,LP,,1980 Dec 12,1981 Jan 11,SIP   A,"Siple Station, Ellsworth Land, Antarctica (Arcas launcher)",-,-84.2481,-75.9391,0.0200,NASA,-                -,,-
SMLC,SMLP,-,LP,,1964,*,SMLC  -,"San Marco Platform, San Marco Launch Complex, Formosa Bay, Kenya",-,40.2134,-2.9408,0.0002,I,-                -,,-
SMLC,Rita,-,LP,,1964,1965,SMLC  Rita,"Santa Rita Platform, San Marco Range, Formosa Bay, Kenya",-,40.2100,-2.9386,0.0002,I,-                -,,-
SNI,RS,-,LP,,1965,1965,SNI RS,"Redstone launch pad, San Nicolas I.",-,-119.5710,33.2596,0.0001,USN,-                -,,-
SNI,PC1,-,LP,,1965,1965,SNI PC1,"Probe Complex No. 1, San Nicolas I.",-,-119.5710,33.2596,0.0100,USN,-                -,,-
SOHAE,LC1,-,LP,,2008,*,TONG  -,"Sohae Launch Site, Tongch'ang-dong, Pyongang-bukdo (N Pyongan Prov), N Korea",-,124.7053,39.6601,0.0001,CMIK,-                -,,-
SOHAE,LP1,-,LP,,2016,*,TONG  -,"Scud launch point, Tongch'ang-dong, Pyongang-bukdo (N Pyongan Prov), N Korea",-,124.7117,39.6811,0.0001,CMIK,-                -,,-
SSG,HAD,-,LP,,1971,1992,SSG   HAD,"HAD Launcher, Sondestrom",-,-50.5974,67.0237,0.0001,USAF,-                -,,-
SSG,MRL,-,LP,,1971,1992,SSG   MRL,"MRL Launcher, Sondestrom",-,-50.5974,67.0235,0.0001,USAF,-                -,,-
SSG,DL,-,LP,,1971,1992,SSG   DL,"Danish Launcher, Sondestrom",-,-50.5965,67.0218,0.0001,USAF,-                -,,-
SSG,T,-,LP,,1986,1992,SSG   T,"Test Launcher, Sondestrom",-,-50.5965,67.0230,0.0001,USAF,-                -,,-
SSG,MORABA,-,LP,,1974,1975,SSG   MORABA,"MORABA Launcher, Sondestrom",-,-50.5974,67.0237,0.0100,DLR,-                -,,-
SSG,HAD3,-,LP,,1986,1992,SSG   HAD3,"HAD Launcher No 3, Sondestrom",-,-50.5972,67.0232,0.0001,USAF,-                -,,-
SPFL,SLC46,LC46,LP,,1987 Jan 15,*,SPFL  SLC46,"Space Launch Complex 46, Spaceport Florida, Cape Canaveral",-,-80.5272,28.4583,0.0002,SPFL,-                -,,-
SPFL,SLC47,LC47,LP,,2006,*,SPFL  SLC47,"Space Launch Complex 47, Spaceport Florida, Cape Canaveral",-,-80.5300,28.4600,0.0100,SPFL,-                -,,-
SRL,RW03/21,-,LP,,1959,1967,SRL   RW03/21,"RW03/21, Smith Ranch Lake, Nevada",-,-117.5000,39.2500,0.0200,NASA/USAF,-                -,,-
SUIST,LA1,-,LP,,1962,*,SUIST -,"Launch Area 1, Royal Artillery Guided Weapons Range, South Uist, Hebrides",-,-7.4110,57.3697,0.0010,MOD,-                -,,-
SUIST,LA2,-,LP,,1962,*,SUIST -,"Launch Area 2, Royal Artillery Guided Weapons Range, South Uist, Hebrides",-,-7.3982,57.3458,0.0010,MOD,-                -,,-
SUIST,C1,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4033,57.3609,0.0010,MOD,-                -,,-
SUIST,C2,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4050,57.3635,0.0010,MOD,-                -,,-
SUIST,C3,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4068,57.3660,0.0010,MOD,-                -,,-
SUIST,T1,-,LP,,1962,*,SUIST -,"Target Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.3945,57.3579,0.0010,MOD,-                -,,-
SUIST,Bornish,-,LP,,1962,*,SUIST -,"Bornish Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4568,57.2415,0.0010,MOD,-                -,,-
SVAL,LONG,-,LP,,1997 Nov,*,SVAL  LONG,"Longyearbyen, Svalbard, Spitzbergen",-,15.7000,78.2000,0.0001,N,-                -,,-
SV3,LM6-DS,-,LP,,1969 Nov 20,1969 Nov 20,SV3   LM6-DS,"LM6 Descent Stage, Surveyor 3 Site, Mare Insularum, Montes Riphaeus A2",Luna,23.3800,-3.2000,0.0100,NASA,-                -,,-
SPAM,RW 16/34,-,LP,,2010 Oct,*,SWRS  GBRS,"Governor Bill Richardson Spaceway, RW  16/34  Spaceport America, New Mexico",-,-106.9722,32.9909,0.0001,NMSPA,-                -,,-
SPAM,VLA LC1,-,LP,,2010 Oct,*,SPAM  LC1,"Launch Complex 1, Vertical Launch Area, Spaceport America",-,-106.9066,32.9403,0.0001,NMSPA,-                -,,-
SPAM,VLA LLP,-,LP,,2010 Oct,*,SPAM  LLP,"Lunar Lander Pads, Vertical Launch Area, Spaceport America",-,-106.9224,32.9436,0.0001,NMSPA,-                -,,-
TERLS,Pad 1,-,LP,,1963,*,TERLS Pad 1,"Pad 1, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
TERLS,Pad 2,-,LP,,1963,*,TERLS Pad 2,"Pad 2, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
TERLS,Pad 3,-,LP,,1963,*,TERLS Pad 3,"Pad 3, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
TERLS,Pad 4,-,LP,,1963,*,TERLS Pad 4,"Pad 4, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
TERLS,Pad 5,-,LP,,1963,*,TERLS Pad 5,"LC5,  Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.8700,8.5300,0.0200,ISRO,-                -,,-
THU,TUTO,-,LP,,1964,1966,THU   TUTO,"Thule/Camp Tuto (Geopole Station), Halvo, Kalaallit Nunaat",-,-68.3200,76.4300,0.0200,USAF,-                -,,-
TNSC,N,-,LP,,1975,*,TNSC  N,"N Launch Complex, Osaki Launch Site, Tanegashima Space Center",-,130.9703,30.3995,0.0001,NASDA,-                -,,-
TNSC,Q,-,LP,,1975,1975,TNSC  Q,"Q Launch Complex, Osaki Launch Site, Tanegashima Space Center",-,130.9685,30.3985,0.0005,NASDA,-                -,,-
TNSC,T,-,LP,,1975,*,TNSC  T,"Takesaki Launch Site, Tanegashima Space Center",-,130.9625,30.3760,0.0001,NASDA,-                -,,-
TNSC,Y,-,LP,,1992,*,TNSC  Y,"Yoshinobu Launch Complex, Osaki Site, Tanegashima Space Center",-,130.9776,30.4008,0.0001,NASDA,-                -,,-
TNSC,Y2,-,LP,,1992,*,TNSC  Y,"Yoshinobu Launch Complex, Osaki Site, Tanegashima Space Center",-,130.9754,30.4009,0.0001,NASDA,-                -,,-
TORT,VB,-,LP,,1966 Feb,1968 May,VB    -,"Camp Tortuguero, Arecibo, Vega Baja, Puerto Rico",-,-66.4389,18.4826,0.0010,USAF,-                -,,-
TORT,HAD,-,LP,,1992 May 25,*,TORT  HAD,"HAD launcher, Camp Tortuguero, Arecibo, Puerto Rico",-,-66.4395,18.4829,0.0001,NASA,-                -,,-
TORT,MRL,-,LP,,1992 May 25,*,TORT  MRL,"MRL launcher, Camp Tortuguero, Arecibo, Puerto Rico",-,-66.4392,18.4831,0.0001,NASA,-                -,,-
TRAN,LM5-DS,-,LP,,1969 Jul 21,1969 Jul 21,TRAN  LM5-DS,"LM 5 DS, Tranquility Base, Mare Tranquillitatis, Julius Caesar C4",Luna,23.4300,0.6900,0.0100,NASA,-                -,,-
TTR,UL3,-,LP,,1957,*,TTR   UL3,"Universal Launcher No. 3, Tonopah Test Range, Nevada",-,-116.7500,37.7500,0.0300,SAND,-                -,,-
TTR,HAD4,-,LP,,1957,*,TTR   HAD4,"HAD Launcher No. 4, Tonopah Test Range, Nevada",-,-116.7500,37.7500,0.0300,SAND,-                -,,-
TYSC,LC7,-,LP,,1988,*,TYSC  LC7,"Pad 7, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.6081,38.8488,0.0002,CN,-                -,,-
TYSC,LC9,-,LP,,2008,*,TYSC  LC9,"Pad 9, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.5895,38.8632,0.0002,CN,-                -,,-
TYSC,LC16,-,LP,,2015,*,TYSC  LC16,"Pad 16, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.5802,38.8681,0.0002,CN,-                -,,-
UNKMR1,M9104,-,LP,,-,-,UNKO  M9104,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9105,-,LP,,-,-,UNKO  M9105,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9106,-,LP,,-,-,UNKO  M9106,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9107,-,LP,,-,-,UNKO  M9107,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9108,-,LP,,-,-,UNKO  M9108,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9109,-,LP,,-,-,UNKO  M9109,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9110,-,LP,,-,-,UNKO  M9110,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9111,-,LP,,-,-,UNKO  M9111,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9112,-,LP,,-,-,UNKO  M9112,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9113,-,LP,,-,-,UNKO  M9113,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9114,-,LP,,-,-,UNKO  M9114,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9115,-,LP,,-,-,UNKO  M9115,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9116,-,LP,,-,-,UNKO  M9116,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9117,-,LP,,-,-,UNKO  M9117,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9118,-,LP,,-,-,UNKO  M9118,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9119,-,LP,,-,-,UNKO  M9119,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9154,-,LP,,-,-,UNKO  M9154,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9155,-,LP,,-,-,UNKO  M9155,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9156,-,LP,,-,-,UNKO  M9156,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9157,-,LP,,-,-,UNKO  M9157,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9158,-,LP,,-,-,UNKO  M9158,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9159,-,LP,,-,-,UNKO  M9159,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9160,-,LP,,-,-,UNKO  M9160,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR1,M9169,-,LP,,-,-,UNKO  M9169,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9170,-,LP,,-,-,UNKO  M9170,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9173,-,LP,,-,-,UNKO  M9173,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9174,-,LP,,-,-,UNKO  M9174,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9175,-,LP,,-,-,UNKO  M9175,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9176,-,LP,,-,-,UNKO  M9176,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9177,-,LP,,-,-,UNKO  M9177,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9178,-,LP,,-,-,UNKO  M9178,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9179,-,LP,,-,-,UNKO  M9179,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9180,-,LP,,-,-,UNKO  M9180,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9181,-,LP,,-,-,UNKO  M9181,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9182,-,LP,,-,-,UNKO  M9182,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9183,-,LP,,-,-,UNKO  M9183,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9184,-,LP,,-,-,UNKO  M9184,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9185,-,LP,,-,-,UNKO  M9185,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9186,-,LP,,-,-,UNKO  M9186,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9187,-,LP,,-,-,UNKO  M9187,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9188,-,LP,,-,-,UNKO  M9188,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9189,-,LP,,-,-,UNKO  M9189,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9190,-,LP,,-,-,UNKO  M9190,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9191,-,LP,,-,-,UNKO  M9191,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9192,-,LP,,-,-,UNKO  M9192,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9193,-,LP,,-,-,UNKO  M9193,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9194,-,LP,,-,-,UNKO  M9194,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9195,-,LP,,-,-,UNKO  M9195,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9196,-,LP,,-,-,UNKO  M9196,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9197,-,LP,,-,-,UNKO  M9197,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9198,-,LP,,-,-,UNKO  M9198,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9199,-,LP,,-,-,UNKO  M9199,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9200,-,LP,,-,-,UNKO  M9200,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9207,-,LP,,-,-,UNKO  M9207,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9208,-,LP,,-,-,UNKO  M9208,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9209,-,LP,,-,-,UNKO  M9209,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR2,M9210,-,LP,,-,-,UNKO  M9210,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9132,-,LP,,-,-,UNKO  M9132,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9135,-,LP,,-,-,UNKO  M9135,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9136,-,LP,,-,-,UNKO  M9136,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9161,-,LP,,-,-,UNKO  M9161,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9162,-,LP,,-,-,UNKO  M9162,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9163,-,LP,,-,-,UNKO  M9163,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9164,-,LP,,-,-,UNKO  M9164,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9165,-,LP,,-,-,UNKO  M9165,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9166,-,LP,,-,-,UNKO  M9166,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9167,-,LP,,-,-,UNKO  M9167,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9168,-,LP,,-,-,UNKO  M9168,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9171,-,LP,,-,-,UNKO  M9171,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR3,M9172,-,LP,,-,-,UNKO  M9172,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9120,-,LP,,-,-,UNKO  M9120,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9121,-,LP,,-,-,UNKO  M9121,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9122,-,LP,,-,-,UNKO  M9122,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9123,-,LP,,-,-,UNKO  M9123,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9124,-,LP,,-,-,UNKO  M9124,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9125,-,LP,,-,-,UNKO  M9125,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9126,-,LP,,-,-,UNKO  M9126,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9127,-,LP,,-,-,UNKO  M9127,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9128,-,LP,,-,-,UNKO  M9128,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9133,-,LP,,-,-,UNKO  M9133,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9135,-,LP,,-,-,UNKO  M9135,Unknown Soviet cruise meteo launch site  - see also UNKMR3,-,,,,-,-                -,,-
UNKMR4,M9138,-,LP,,-,-,UNKO  M9138,Unknown Soviet cruise meteo launch site 1969,-,,,,-,-                -,,-
UNKMR4,M9166,-,LP,,-,-,UNKO  M9166,Unknown Soviet cruise meteo launch site  - see also UNKMR3,-,,,,-,-                -,,-
UNKMR4,M9201,-,LP,,-,-,UNKO  M9201,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9202,-,LP,,-,-,UNKO  M9202,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9203,-,LP,,-,-,UNKO  M9203,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9204,-,LP,,-,-,UNKO  M9204,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9205,-,LP,,-,-,UNKO  M9205,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR4,M9206,-,LP,,-,-,UNKO  M9206,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9127,-,LP,,-,-,UNKO  M9127,Unknown Soviet cruise meteo launch site see also UNKMR4,-,,,,-,-                -,,-
UNKMR5,M9128,-,LP,,-,-,UNKO  M9128,Unknown Soviet cruise meteo launch site see also UNKMR4,-,,,,-,-                -,,-
UNKMR5,M9129,-,LP,,-,-,UNKO  M9129,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9130,-,LP,,-,-,UNKO  M9130,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9131,-,LP,,-,-,UNKO  M9131,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9132,-,LP,,-,-,UNKO  M9132,Unknown Soviet cruise meteo launch site see also UNKMR3,-,,,,-,-                -,,-
UNKMR5,M9133,-,LP,,-,-,UNKO  M9133,Unknown Soviet cruise meteo launch site see also UNKMR4,-,,,,-,-                -,,-
UNKMR5,M9134,-,LP,,-,-,UNKO  M9134,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9135,-,LP,,-,-,UNKO  M9135,Unknown Soviet cruise meteo launch site see also UNKMR3,-,,,,-,-                -,,-
UNKMR5,M9136,-,LP,,-,-,UNKO  M9136,Unknown Soviet cruise meteo launch site see also UNKMR3,-,,,,-,-                -,,-
UNKMR5,M9137,-,LP,,-,-,UNKO  M9137,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9138,-,LP,,-,-,UNKO  M9138,Unknown Soviet cruise meteo launch site 1969 - see also UNKMR4,-,,,,-,-                -,,-
UNKMR5,M9139,-,LP,,-,-,UNKO  M9139,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9140,-,LP,,-,-,UNKO  M9140,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9141,-,LP,,-,-,UNKO  M9141,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9142,-,LP,,-,-,UNKO  M9142,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9143,-,LP,,-,-,UNKO  M9143,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9144,-,LP,,-,-,UNKO  M9144,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9145,-,LP,,-,-,UNKO  M9145,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9146,-,LP,,-,-,UNKO  M9146,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9147,-,LP,,-,-,UNKO  M9147,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9148,-,LP,,-,-,UNKO  M9148,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
UNKMR5,M9149,-,LP,,-,-,UNKO  M9149,Unknown Soviet cruise meteo launch site,-,,,,-,-                -,,-
